id	Ne_min	Ne_max	r	mu	L	samp	chg_r
100	5000	5000	1e-7	1e-6	50000	20	0.1
101	5000	5000	1e-7	1e-6	50000	20	0.1
102	5000	5000	1e-7	1e-6	50000	20	0.1
103	5000	5000	1e-7	1e-6	50000	20	0.1
104	5000	5000	1e-7	1e-6	50000	20	0.1
105	500	500	1e-7	1e-6	50000	20	1
106	500	500	1e-7	1e-6	50000	20	1
107	500	500	1e-7	1e-6	50000	20	1
108	500	500	1e-7	1e-6	50000	20	1
109	500	500	1e-7	1e-6	50000	20	1
110	50	50	1e-7	1e-6	50000	20	10
111	50	50	1e-7	1e-6	50000	20	10
112	50	50	1e-7	1e-6	50000	20	10
113	50	50	1e-7	1e-6	50000	20	10
114	50	50	1e-7	1e-6	50000	20	10
