sim_id	outcome	Ne	s	r	mu	L	mut_pos	chg_gen	rise_gen	fix_gen	end_gen	samp	mut_freq	time(s)	Ne_init
100	FIXED	500	0.027179	1.0e-07	1.0e-06	49999	974	500	503	777	516	20	1	1.40972	5000
101	FIXED	500	0.0288594	1.0e-07	1.0e-06	49999	974	500	654	777	657	20	1	1.41501	5000
102	FIXED	500	0.0323636	1.0e-07	1.0e-06	49999	974	500	502	777	509	20	1	1.26643	5000
103	FIXED	500	0.0185583	1.0e-07	1.0e-06	49999	974	500	632	777	700	20	1	1.38483	5000
104	FIXED	500	0.0158302	1.0e-07	1.0e-06	49999	974	500	500	777	505	20	1	1.24822	5000
105	FIXED	500	0.0236648	1.0e-07	1.0e-06	49999	974	500	530	777	555	20	1	0.121133	500
106	FIXED	500	0.386836	1.0e-07	1.0e-06	49999	974	500	572	777	616	20	1	0.119745	500
107	FIXED	500	0.49004	1.0e-07	1.0e-06	49999	974	500	614	777	684	20	1	0.147197	500
108	FIXED	500	0.127678	1.0e-07	1.0e-06	49999	974	500	688	777	697	20	1	0.147141	500
109	FIXED	500	0.0143996	1.0e-07	1.0e-06	49999	974	500	635	777	657	20	1	0.138973	500
110	FIXED	500	4.28945	1.0e-07	1.0e-06	49999	974	500	596	777	631	20	1	0.0415097	50
111	FIXED	500	2.83946	1.0e-07	1.0e-06	49999	974	500	542	777	579	20	1	0.0285257	50
112	FIXED	500	0.91471	1.0e-07	1.0e-06	49999	974	500	504	777	512	20	1	0.0142291	50
113	FIXED	500	0.776899	1.0e-07	1.0e-06	49999	974	500	501	777	572	20	1	0.0270623	50
114	FIXED	500	1.45503	1.0e-07	1.0e-06	49999	974	500	511	777	638	20	1	0.0406213	50
