id	Ne_min	Ne_max	r	mu	L	samp	chg_r
100	5000	5000	1e-8	1e-6	50000	20	0.1
101	5000	5000	1e-8	1e-6	50000	20	0.1
102	5000	5000	1e-8	1e-6	50000	20	0.1
103	5000	5000	1e-8	1e-6	50000	20	0.1
104	5000	5000	1e-8	1e-6	50000	20	0.1
105	5000	5000	1e-8	1e-6	50000	20	0.1
106	5000	5000	1e-8	1e-6	50000	20	0.1
107	5000	5000	1e-8	1e-6	50000	20	0.1
108	5000	5000	1e-8	1e-6	50000	20	0.1
109	5000	5000	1e-8	1e-6	50000	20	0.1
110	500	500	1e-8	1e-6	50000	20	1
111	500	500	1e-8	1e-6	50000	20	1
112	500	500	1e-8	1e-6	50000	20	1
113	500	500	1e-8	1e-6	50000	20	1
114	500	500	1e-8	1e-6	50000	20	1
115	500	500	1e-8	1e-6	50000	20	1
116	500	500	1e-8	1e-6	50000	20	1
117	500	500	1e-8	1e-6	50000	20	1
118	500	500	1e-8	1e-6	50000	20	1
119	500	500	1e-8	1e-6	50000	20	1
120	50	50	1e-8	1e-6	50000	20	10
121	50	50	1e-8	1e-6	50000	20	10
122	50	50	1e-8	1e-6	50000	20	10
123	50	50	1e-8	1e-6	50000	20	10
124	50	50	1e-8	1e-6	50000	20	10
125	50	50	1e-8	1e-6	50000	20	10
126	50	50	1e-8	1e-6	50000	20	10
127	50	50	1e-8	1e-6	50000	20	10
128	50	50	1e-8	1e-6	50000	20	10
129	50	50	1e-8	1e-6	50000	20	10
