sim_id	outcome	Ne	s	r	mu	L	mut_pos	chg_gen	rise_gen	fix_gen	end_gen	samp	mut_freq	time(s)	Ne_init
100	FIXED	500	0.00715453	1.0e-08	1.0e-06	49999	974	500	535	777	539	20	1	1.48962	5000
101	FIXED	500	0.0151604	1.0e-08	1.0e-06	49999	974	500	503	777	532	20	1	1.41472	5000
102	FIXED	500	0.00826307	1.0e-08	1.0e-06	49999	974	500	620	777	666	20	1	1.42897	5000
103	FIXED	500	0.0483723	1.0e-08	1.0e-06	49999	974	500	567	777	679	20	1	1.47519	5000
104	FIXED	500	0.0499536	1.0e-08	1.0e-06	49999	974	500	510	777	593	20	1	1.37848	5000
105	FIXED	500	0.0299019	1.0e-08	1.0e-06	49999	974	500	579	777	627	20	1	1.44473	5000
106	FIXED	500	0.0472492	1.0e-08	1.0e-06	49999	974	500	502	777	515	20	1	1.33895	5000
107	FIXED	500	0.0363783	1.0e-08	1.0e-06	49999	974	500	500	777	666	20	1	1.43642	5000
108	FIXED	500	0.00457979	1.0e-08	1.0e-06	49999	974	500	595	777	598	20	1	1.42898	5000
109	FIXED	500	0.0235066	1.0e-08	1.0e-06	49999	974	500	540	777	682	20	1	1.44306	5000
110	FIXED	500	0.103278	1.0e-08	1.0e-06	49999	974	500	608	777	669	20	1	0.124051	500
111	FIXED	500	0.372735	1.0e-08	1.0e-06	49999	974	500	643	777	672	20	1	0.12493	500
112	FIXED	500	0.493207	1.0e-08	1.0e-06	49999	974	500	549	777	621	20	1	0.115765	500
113	FIXED	500	0.42724	1.0e-08	1.0e-06	49999	974	500	553	777	667	20	1	0.123288	500
114	FIXED	500	0.348177	1.0e-08	1.0e-06	49999	974	500	548	777	548	20	1	0.103287	500
115	FIXED	500	0.374768	1.0e-08	1.0e-06	49999	974	500	527	777	698	20	1	0.148658	500
116	FIXED	500	0.309277	1.0e-08	1.0e-06	49999	974	500	652	777	652	20	1	0.12094	500
117	FIXED	500	0.471802	1.0e-08	1.0e-06	49999	974	500	532	777	684	20	1	0.127342	500
118	FIXED	500	0.331545	1.0e-08	1.0e-06	49999	974	500	502	777	527	20	1	0.0982178	500
119	FIXED	500	0.436412	1.0e-08	1.0e-06	49999	974	500	532	777	547	20	1	0.102236	500
120	FIXED	500	3.22119	1.0e-08	1.0e-06	49999	974	500	550	777	585	20	1	0.0295892	50
121	FIXED	500	1.83965	1.0e-08	1.0e-06	49999	974	500	515	777	523	20	1	0.0166404	50
122	FIXED	500	2.98577	1.0e-08	1.0e-06	49999	974	500	542	777	685	20	1	0.0493211	50
123	FIXED	500	3.774	1.0e-08	1.0e-06	49999	974	500	505	777	646	20	1	0.0419441	50
124	FIXED	500	3.75896	1.0e-08	1.0e-06	49999	974	500	501	777	522	20	1	0.0159425	50
125	FIXED	500	4.61654	1.0e-08	1.0e-06	49999	974	500	508	777	582	20	1	0.0286017	50
126	FIXED	500	0.814434	1.0e-08	1.0e-06	49999	974	500	587	777	685	20	1	0.049253	50
127	FIXED	500	1.09568	1.0e-08	1.0e-06	49999	974	500	626	777	687	20	1	0.0500608	50
128	FIXED	500	4.60034	1.0e-08	1.0e-06	49999	974	500	598	777	612	20	1	0.0371412	50
129	FIXED	500	2.48309	1.0e-08	1.0e-06	49999	974	500	530	777	614	20	1	0.0372558	50
