sim_id	outcome	NeA	NeB	s	r	mu	L	m	mut_pos	rise_gen	fix_gen	end_gen	samp	mut_freq	run_CPU_time(s)	chg_r	split_gen	chg_gen
100	FIXED	583	583	0.17218	1.0e-06	1.0e-06	99999	0	10553	4	139	863	20	1	0.328755	1	5221	2311
101	SEG	598	598	0.157245	1.0e-06	1.0e-06	99999	0	60323	4	NF	267	20	0.856187	0.100423	1	2505	796
102	FIXED	581	581	0.298752	1.0e-06	1.0e-06	99999	0	99826	4	119	210	20	1	0.0857471	1	2018	756
103	FIXED	749	749	0.157543	1.0e-06	1.0e-06	99999	0	76104	4	161	738	20	1	0.372259	1	3844	1887
104	FIXED	580	580	0.0717733	1.0e-06	1.0e-06	99999	0	86284	4	92	628	20	1	0.236135	1	3750	1015
105	FIXED	390	390	0.449475	1.0e-06	1.0e-06	99999	0	47098	4	60	248	20	1	0.0713115	1	3681	935
106	FIXED	794	794	0.15877	1.0e-06	1.0e-06	99999	0	81079	4	118	738	20	1	0.403064	1	4426	1811
107	FIXED	112	112	1.36254	1.0e-06	1.0e-06	99999	0	33207	4	40	49	20	1	0.00519895	1	906	385
108	SEG	163	163	0.506337	1.0e-06	1.0e-06	99999	0	69670	4	NF	17	20	0.171779	0.00289372	1	154	73
109	FIXED	450	450	0.0217238	1.0e-06	1.0e-06	99999	0	39459	4	58	451	20	1	0.141407	1	3215	1019
110	FIXED	473	473	0.261104	1.0e-06	1.0e-06	99999	0	46610	4	119	254	20	1	0.0859514	1	3304	1403
111	FIXED	924	924	0.0699318	1.0e-06	1.0e-06	99999	0	14675	4	632	706	20	1	0.434963	1	6997	2804
112	FIXED	475	475	0.365982	1.0e-06	1.0e-06	99999	0	12056	4	83	460	20	1	0.145743	1	3482	1266
113	SEG	500	500	0.395277	1.0e-06	1.0e-06	99999	0	4284	4	NF	422	20	0.886	0.138891	1	2443	1217
114	SEG	297	297	0.209373	1.0e-06	1.0e-06	99999	0	74609	4	NF	237	20	0.496633	0.0448037	1	1826	517
