sim_id	outcome	NeA	NeB	s	r	mu	L	m	mut_pos	rise_gen	fix_gen	end_gen	samp	mut_freq	run_CPU_time(s)	chg_r	split_gen	chg_gen
100	NO_MUT	583	583	0.17218	1.0e-06	1.0e-06	99999	0	-	4	-	863	20	-	0.310195	1	5221	2311
101	NO_MUT	598	598	0.157245	1.0e-06	1.0e-06	99999	0	-	4	-	267	20	-	0.103016	1	2505	796
102	NO_MUT	581	581	0.298752	1.0e-06	1.0e-06	99999	0	-	4	-	210	20	-	0.0751002	1	2018	756
103	NO_MUT	749	749	0.157543	1.0e-06	1.0e-06	99999	0	-	4	-	738	20	-	0.316131	1	3844	1887
104	NO_MUT	580	580	0.0717733	1.0e-06	1.0e-06	99999	0	-	4	-	628	20	-	0.228614	1	3750	1015
105	NO_MUT	390	390	0.449475	1.0e-06	1.0e-06	99999	0	-	4	-	248	20	-	0.063622	1	3681	935
106	NO_MUT	794	794	0.15877	1.0e-06	1.0e-06	99999	0	-	4	-	738	20	-	0.333792	1	4426	1811
107	NO_MUT	112	112	1.36254	1.0e-06	1.0e-06	99999	0	-	4	-	49	20	-	0.00518026	1	906	385
108	NO_MUT	163	163	0.506337	1.0e-06	1.0e-06	99999	0	-	4	-	17	20	-	0.00293585	1	154	73
109	NO_MUT	450	450	0.0217238	1.0e-06	1.0e-06	99999	0	-	4	-	451	20	-	0.124542	1	3215	1019
110	NO_MUT	473	473	0.261104	1.0e-06	1.0e-06	99999	0	-	4	-	254	20	-	0.0753885	1	3304	1403
111	NO_MUT	924	924	0.0699318	1.0e-06	1.0e-06	99999	0	-	4	-	706	20	-	0.386559	1	6997	2804
112	NO_MUT	475	475	0.365982	1.0e-06	1.0e-06	99999	0	-	4	-	460	20	-	0.129126	1	3482	1266
113	NO_MUT	500	500	0.395277	1.0e-06	1.0e-06	99999	0	-	4	-	422	20	-	0.133133	1	2443	1217
114	NO_MUT	297	297	0.209373	1.0e-06	1.0e-06	99999	0	-	4	-	237	20	-	0.0470925	1	1826	517
