sim_id	outcome	NeA	NeB	s	r	mu	L	m	mut_pos	rise_gen	fix_gen	end_gen	samp	mut_freq	run_CPU_time(s)	chg_r	split_gen	chg_gen
100	FIXED	6470	647	0.356646	1.0e-06	1.0e-06	99999	0	22594	4	225	469	20	1	2.58088	10	4581	1640
101	FIXED	5470	547	0.416676	1.0e-06	1.0e-06	99999	0	44998	4	104	342	20	1	1.47625	10	2783	918
102	FIXED	8590	859	0.271437	1.0e-06	1.0e-06	99999	0	86143	4	139	196	20	1	1.53845	10	1801	797
103	SEG	9990	999	0.184492	1.0e-06	1.0e-06	99999	0	5109	4	NF	536	20	0.938789	4.63463	10	5160	2359
104	FIXED	7150	715	0.307419	1.0e-06	1.0e-06	99999	0	83419	4	113	989	20	1	5.51251	10	5485	1591
105	FIXED	6840	684	0.248049	1.0e-06	1.0e-06	99999	0	56120	4	290	875	20	1	4.93006	10	5970	1235
106	FIXED	4040	404	0.442643	1.0e-06	1.0e-06	99999	0	69926	4	121	386	20	1	1.2072	10	3208	1124
107	FIXED	5920	592	0.0203499	1.0e-06	1.0e-06	99999	0	65058	4	435	848	20	1	4.09293	10	5225	2305
108	FIXED	6560	656	0.163376	1.0e-06	1.0e-06	99999	0	32266	4	278	490	20	1	2.68363	10	3463	1650
109	FIXED	4760	476	0.287281	1.0e-06	1.0e-06	99999	0	72308	4	121	630	20	1	2.32539	10	3509	1657
110	SEG	1050	105	0.870949	1.0e-06	1.0e-06	99999	0	74682	4	NF	40	20	0.95	0.0390108	10	942	250
111	SEG	6020	602	0.203552	1.0e-06	1.0e-06	99999	0	68555	4	NF	150	20	0.420017	0.759375	10	799	301
112	FIXED	4450	445	0.282703	1.0e-06	1.0e-06	99999	0	39695	4	114	376	20	1	1.37352	10	3837	1812
113	FIXED	4610	461	0.338691	1.0e-06	1.0e-06	99999	0	87990	4	273	277	20	1	1.00477	10	1552	329
114	FIXED	3560	356	0.175063	1.0e-06	1.0e-06	99999	0	10465	4	124	366	20	1	1.02126	10	2153	1031
