sim_id	outcome	NeA	NeB	s	r	mu	L	m	mut_pos	rise_gen	fix_gen	end_gen	samp	mut_freq	run_CPU_time(s)	chg_r	split_gen	chg_gen
100	NO_MUT	6470	647	0.356646	1.0e-06	1.0e-06	99999	0	-	4	-	469	20	-	2.40326	10	4581	1640
101	NO_MUT	5470	547	0.416676	1.0e-06	1.0e-06	99999	0	-	4	-	342	20	-	1.4223	10	2783	918
102	NO_MUT	8590	859	0.271437	1.0e-06	1.0e-06	99999	0	-	4	-	196	20	-	1.41102	10	1801	797
103	NO_MUT	9990	999	0.184492	1.0e-06	1.0e-06	99999	0	-	4	-	536	20	-	4.36058	10	5160	2359
104	NO_MUT	7150	715	0.307419	1.0e-06	1.0e-06	99999	0	-	4	-	989	20	-	5.34951	10	5485	1591
105	NO_MUT	6840	684	0.248049	1.0e-06	1.0e-06	99999	0	-	4	-	875	20	-	4.47231	10	5970	1235
106	NO_MUT	4040	404	0.442643	1.0e-06	1.0e-06	99999	0	-	4	-	386	20	-	1.13145	10	3208	1124
107	NO_MUT	5920	592	0.0203499	1.0e-06	1.0e-06	99999	0	-	4	-	848	20	-	3.7318	10	5225	2305
108	NO_MUT	6560	656	0.163376	1.0e-06	1.0e-06	99999	0	-	4	-	490	20	-	2.4317	10	3463	1650
109	NO_MUT	4760	476	0.287281	1.0e-06	1.0e-06	99999	0	-	4	-	630	20	-	1.90495	10	3509	1657
110	NO_MUT	1050	105	0.870949	1.0e-06	1.0e-06	99999	0	-	4	-	40	20	-	0.0325431	10	942	250
111	NO_MUT	6020	602	0.203552	1.0e-06	1.0e-06	99999	0	-	4	-	150	20	-	0.733848	10	799	301
112	NO_MUT	4450	445	0.282703	1.0e-06	1.0e-06	99999	0	-	4	-	376	20	-	1.19855	10	3837	1812
113	NO_MUT	4610	461	0.338691	1.0e-06	1.0e-06	99999	0	-	4	-	277	20	-	0.921537	10	1552	329
114	NO_MUT	3560	356	0.175063	1.0e-06	1.0e-06	99999	0	-	4	-	366	20	-	0.914641	10	2153	1031
