sim_id	outcome	NeA	NeB	s	r	mu	L	m	mut_pos	rise_gen	fix_gen	end_gen	samp	mut_freq	run_CPU_time(s)	chg_r	split_gen	chg_gen
100	FIXED	44	435	0.150684	1.0e-06	1.0e-06	99999	0	10413	4	113	234	20	1	0.0110251	0.1	2407	1115
101	SEG	73	729	0.174927	1.0e-06	1.0e-06	99999	0	78413	4	NF	451	20	0.931507	0.0207572	0.1	6952	1680
102	FIXED	61	606	0.201291	1.0e-06	1.0e-06	99999	0	9231	4	267	862	20	1	0.0286461	0.1	4443	1291
103	SEG	17	169	1.03986	1.0e-06	1.0e-06	99999	0	7685	4	NF	13	16	0.411765	0.000975512	0.1	785	157
104	SEG	46	456	0.0377659	1.0e-06	1.0e-06	99999	0	16660	4	NF	178	20	0.347826	0.005486	0.1	3910	1949
105	FIXED	73	732	0.118673	1.0e-06	1.0e-06	99999	0	28254	4	102	106	20	1	0.00505098	0.1	878	372
106	FIXED	95	945	0.124309	1.0e-06	1.0e-06	99999	0	63661	4	113	176	20	1	0.0103738	0.1	1447	351
107	FIXED	42	420	0.220551	1.0e-06	1.0e-06	99999	0	67583	4	41	216	20	1	0.00616345	0.1	2736	1280
108	SEG	56	563	0.269632	1.0e-06	1.0e-06	99999	0	40499	4	NF	66	20	0.973214	0.00315788	0.1	1237	547
109	FIXED	39	389	0.29056	1.0e-06	1.0e-06	99999	0	20877	4	27	586	20	1	0.0137598	0.1	3576	1749
110	SEG	94	941	0.173852	1.0e-06	1.0e-06	99999	0	5001	4	NF	99	20	0.148936	0.00610392	0.1	3972	1686
111	SEG	49	493	0.0591908	1.0e-06	1.0e-06	99999	0	66770	4	NF	34	20	0.163265	0.00157347	0.1	1503	496
112	SEG	23	232	0.707513	1.0e-06	1.0e-06	99999	0	31094	4	NF	31	20	0.804348	0.00103349	0.1	975	458
113	FIXED	77	765	0.300417	1.0e-06	1.0e-06	99999	0	95658	4	78	112	20	1	0.00581555	0.1	1137	305
114	FIXED	59	589	0.397673	1.0e-06	1.0e-06	99999	0	11508	4	71	109	20	1	0.00443395	0.1	1086	338
