sim_id	outcome	NeA	NeB	s	r	mu	L	m	mut_pos	rise_gen	fix_gen	end_gen	samp	mut_freq	run_CPU_time(s)	chg_r	split_gen	chg_gen
100	NO_MUT	44	435	0.150684	1.0e-06	1.0e-06	99999	0	-	4	-	234	20	-	0.00772948	0.1	2407	1115
101	NO_MUT	73	729	0.174927	1.0e-06	1.0e-06	99999	0	-	4	-	451	20	-	0.0224659	0.1	6952	1680
102	NO_MUT	61	606	0.201291	1.0e-06	1.0e-06	99999	0	-	4	-	862	20	-	0.0328649	0.1	4443	1291
103	NO_MUT	17	169	1.03986	1.0e-06	1.0e-06	99999	0	-	4	-	13	16	-	0.000873622	0.1	785	157
104	NO_MUT	46	456	0.0377659	1.0e-06	1.0e-06	99999	0	-	4	-	178	20	-	0.00605906	0.1	3910	1949
105	NO_MUT	73	732	0.118673	1.0e-06	1.0e-06	99999	0	-	4	-	106	20	-	0.00579849	0.1	878	372
106	NO_MUT	95	945	0.124309	1.0e-06	1.0e-06	99999	0	-	4	-	176	20	-	0.0126749	0.1	1447	351
107	NO_MUT	42	420	0.220551	1.0e-06	1.0e-06	99999	0	-	4	-	216	20	-	0.00701349	0.1	2736	1280
108	NO_MUT	56	563	0.269632	1.0e-06	1.0e-06	99999	0	-	4	-	66	20	-	0.00355173	0.1	1237	547
109	NO_MUT	39	389	0.29056	1.0e-06	1.0e-06	99999	0	-	4	-	586	20	-	0.0153743	0.1	3576	1749
110	NO_MUT	94	941	0.173852	1.0e-06	1.0e-06	99999	0	-	4	-	99	20	-	0.00746792	0.1	3972	1686
111	NO_MUT	49	493	0.0591908	1.0e-06	1.0e-06	99999	0	-	4	-	34	20	-	0.00184333	0.1	1503	496
112	NO_MUT	23	232	0.707513	1.0e-06	1.0e-06	99999	0	-	4	-	31	20	-	0.00146643	0.1	975	458
113	NO_MUT	77	765	0.300417	1.0e-06	1.0e-06	99999	0	-	4	-	112	20	-	0.0072504	0.1	1137	305
114	NO_MUT	59	589	0.397673	1.0e-06	1.0e-06	99999	0	-	4	-	109	20	-	0.00512793	0.1	1086	338
