sim_id	outcome	NeA	NeB	s	r	mu	L	m	mut_pos	rise_gen	fix_gen	end_gen	samp	mut_freq	run_CPU_time(s)	chg_r	split_gen	chg_gen
100	SEG	1100	110	1.20587	1.0e-06	1.0e-06	99999	0	64831	2	NF	78	20	0.988182	0.0684717	10	552	177
101	FIXED	9730	973	0.0182914	1.0e-06	1.0e-06	99999	0	30363	4	232	896	20	1	8.71417	10	4809	2000
102	SEG	1720	172	0.633761	1.0e-06	1.0e-06	99999	0	99829	4	NF	34	20	0.792442	0.0501756	10	311	137
103	SEG	2120	212	0.832268	1.0e-06	1.0e-06	99999	0	74105	4	NF	21	20	0.14033	0.0622095	10	828	290
104	FIXED	2160	216	0.361645	1.0e-06	1.0e-06	99999	0	7432	4	84	204	20	1	0.354658	10	1593	377
105	FIXED	8360	836	0.284888	1.0e-06	1.0e-06	99999	0	9381	4	159	480	20	1	3.88343	10	6085	2421
106	FIXED	6110	611	0.216144	1.0e-06	1.0e-06	99999	0	71736	4	169	461	20	1	2.50226	10	5296	2447
107	SEG	7430	743	0.0870774	1.0e-06	1.0e-06	99999	0	79897	4	NF	679	20	0.154172	4.30107	10	6455	2984
108	FIXED	7630	763	0.241537	1.0e-06	1.0e-06	99999	0	15848	4	205	455	20	1	3.05684	10	2745	1318
109	SEG	2440	244	0.385345	1.0e-06	1.0e-06	99999	0	94393	4	NF	236	20	0.992213	0.497361	10	1840	545
110	SEG	7080	708	0.115389	1.0e-06	1.0e-06	99999	0	90778	4	NF	286	20	0.97161	2.40141	10	4006	1234
111	FIXED	7550	755	0.113724	1.0e-06	1.0e-06	99999	0	72147	4	200	371	20	1	2.61171	10	7255	2677
112	FIXED	1210	121	0.955736	1.0e-06	1.0e-06	99999	0	37806	4	33	74	20	1	0.0859564	10	919	433
113	SEG	6350	635	0.0643007	1.0e-06	1.0e-06	99999	0	60870	4	NF	320	20	0.999055	1.76899	10	4281	1178
114	SEG	1600	160	0.68826	1.0e-06	1.0e-06	99999	0	58141	4	NF	56	20	0.994375	0.0863955	10	382	80
