sim_id	outcome	NeA	NeB	s	r	mu	L	m	mut_pos	rise_gen	fix_gen	end_gen	samp	mut_freq	run_CPU_time(s)	chg_r	split_gen	chg_gen
100	NO_MUT	1100	110	1.20587	1.0e-06	1.0e-06	99999	0	-	2	-	78	20	-	0.0705943	10	552	177
101	NO_MUT	9730	973	0.0182914	1.0e-06	1.0e-06	99999	0	-	4	-	896	20	-	7.82482	10	4809	2000
102	NO_MUT	1720	172	0.633761	1.0e-06	1.0e-06	99999	0	-	4	-	34	20	-	0.051206	10	311	137
103	NO_MUT	2120	212	0.832268	1.0e-06	1.0e-06	99999	0	-	4	-	21	20	-	0.0457725	10	828	290
104	NO_MUT	2160	216	0.361645	1.0e-06	1.0e-06	99999	0	-	4	-	204	20	-	0.345456	10	1593	377
105	NO_MUT	8360	836	0.284888	1.0e-06	1.0e-06	99999	0	-	4	-	480	20	-	3.49025	10	6085	2421
106	NO_MUT	6110	611	0.216144	1.0e-06	1.0e-06	99999	0	-	4	-	461	20	-	2.42054	10	5296	2447
107	NO_MUT	7430	743	0.0870774	1.0e-06	1.0e-06	99999	0	-	4	-	679	20	-	4.48722	10	6455	2984
108	NO_MUT	7630	763	0.241537	1.0e-06	1.0e-06	99999	0	-	4	-	455	20	-	2.92648	10	2745	1318
109	NO_MUT	2440	244	0.385345	1.0e-06	1.0e-06	99999	0	-	4	-	236	20	-	0.422592	10	1840	545
110	NO_MUT	7080	708	0.115389	1.0e-06	1.0e-06	99999	0	-	4	-	286	20	-	1.703	10	4006	1234
111	NO_MUT	7550	755	0.113724	1.0e-06	1.0e-06	99999	0	-	4	-	371	20	-	2.45276	10	7255	2677
112	NO_MUT	1210	121	0.955736	1.0e-06	1.0e-06	99999	0	-	4	-	74	20	-	0.0718506	10	919	433
113	NO_MUT	6350	635	0.0643007	1.0e-06	1.0e-06	99999	0	-	4	-	320	20	-	1.80375	10	4281	1178
114	NO_MUT	1600	160	0.68826	1.0e-06	1.0e-06	99999	0	-	4	-	56	20	-	0.0689849	10	382	80
