sim_id	outcome	NeA	NeB	s	r	mu	L	m	mut_pos	rise_gen	fix_gen	end_gen	samp	mut_freq	run_CPU_time(s)	chg_r	split_gen	chg_gen
100	FIXED	624	624	0.285779	1.0e-06	1.0e-06	99999	0	58802	4	103	508	20	1	0.237996	1	4000	1611
101	FIXED	799	799	0.281744	1.0e-06	1.0e-06	99999	0	8585	4	135	204	20	1	0.137322	1	2331	818
102	SEG	736	736	0.21807	1.0e-06	1.0e-06	99999	0	16407	4	NF	110	20	0.993207	0.0821424	1	672	217
103	SEG	392	392	0.457683	1.0e-06	1.0e-06	99999	0	48069	4	NF	60	20	0.409439	0.020936	1	1675	567
104	FIXED	646	646	0.366819	1.0e-06	1.0e-06	99999	0	3457	4	85	145	20	1	0.0753789	1	1218	354
105	FIXED	187	187	0.831813	1.0e-06	1.0e-06	99999	0	14015	4	56	166	20	1	0.0230664	1	1077	530
106	FIXED	786	786	0.0858441	1.0e-06	1.0e-06	99999	0	67097	4	92	512	20	1	0.335508	1	4553	1196
107	FIXED	912	912	0.249322	1.0e-06	1.0e-06	99999	0	12426	4	102	958	20	1	0.683448	1	5882	1664
108	SEG	662	662	0.34206	1.0e-06	1.0e-06	99999	0	93860	4	NF	87	20	0.984894	0.0481813	1	616	236
109	SEG	610	610	0.288479	1.0e-06	1.0e-06	99999	0	49216	4	NF	44	20	0.204098	0.0294942	1	424	136
110	FIXED	865	865	0.223446	1.0e-06	1.0e-06	99999	0	35255	4	119	182	20	1	0.142803	1	918	373
111	FIXED	633	633	0.327112	1.0e-06	1.0e-06	99999	0	56482	4	445	473	20	1	0.207738	1	2403	787
112	FIXED	865	865	0.17643	1.0e-06	1.0e-06	99999	0	63669	4	349	1376	20	1	0.981023	1	7942	2435
113	FIXED	944	944	0.181321	1.0e-06	1.0e-06	99999	0	3687	4	150	1119	20	1	0.902821	1	6397	3131
114	SEG	172	172	0.56229	1.0e-06	1.0e-06	99999	0	20027	4	NF	99	20	0.938953	0.0144051	1	1176	524
