sim_id	outcome	NeA	NeB	s	r	mu	L	m	mut_pos	rise_gen	fix_gen	end_gen	samp	mut_freq	run_CPU_time(s)	chg_r	split_gen	chg_gen
100	NO_MUT	624	624	0.285779	1.0e-06	1.0e-06	99999	0	-	4	-	508	20	-	0.216374	1	4000	1611
101	NO_MUT	799	799	0.281744	1.0e-06	1.0e-06	99999	0	-	4	-	204	20	-	0.111817	1	2331	818
102	NO_MUT	736	736	0.21807	1.0e-06	1.0e-06	99999	0	-	4	-	110	20	-	0.0655881	1	672	217
103	NO_MUT	392	392	0.457683	1.0e-06	1.0e-06	99999	0	-	4	-	60	20	-	0.0208464	1	1675	567
104	NO_MUT	646	646	0.366819	1.0e-06	1.0e-06	99999	0	-	4	-	145	20	-	0.0788406	1	1218	354
105	NO_MUT	187	187	0.831813	1.0e-06	1.0e-06	99999	0	-	4	-	166	20	-	0.0235955	1	1077	530
106	NO_MUT	786	786	0.0858441	1.0e-06	1.0e-06	99999	0	-	4	-	512	20	-	0.278493	1	4553	1196
107	NO_MUT	912	912	0.249322	1.0e-06	1.0e-06	99999	0	-	4	-	958	20	-	0.569796	1	5882	1664
108	NO_MUT	662	662	0.34206	1.0e-06	1.0e-06	99999	0	-	4	-	87	20	-	0.0482309	1	616	236
109	NO_MUT	610	610	0.288479	1.0e-06	1.0e-06	99999	0	-	4	-	44	20	-	0.0217938	1	424	136
110	NO_MUT	865	865	0.223446	1.0e-06	1.0e-06	99999	0	-	4	-	182	20	-	0.105962	1	918	373
111	NO_MUT	633	633	0.327112	1.0e-06	1.0e-06	99999	0	-	4	-	473	20	-	0.217475	1	2403	787
112	NO_MUT	865	865	0.17643	1.0e-06	1.0e-06	99999	0	-	4	-	1376	20	-	0.740159	1	7942	2435
113	NO_MUT	944	944	0.181321	1.0e-06	1.0e-06	99999	0	-	4	-	1119	20	-	0.675728	1	6397	3131
114	NO_MUT	172	172	0.56229	1.0e-06	1.0e-06	99999	0	-	4	-	99	20	-	0.0123313	1	1176	524
