sim_id	outcome	NeA	NeB	s	r	mu	L	m	mut_pos	rise_gen	fix_gen	end_gen	samp	mut_freq	run_CPU_time(s)	chg_r	split_gen	chg_gen
100	FIXED	55	549	0.0502754	1.0e-06	1.0e-06	99999	0	88988	4	106	946	20	1	0.0348998	0.1	4886	1931
101	FIXED	74	735	0.0531904	1.0e-06	1.0e-06	99999	0	72048	4	159	683	20	1	0.0332188	0.1	6531	2857
102	FIXED	33	327	0.362597	1.0e-06	1.0e-06	99999	0	39646	4	66	144	20	1	0.0043578	0.1	2027	764
103	FIXED	81	809	0.176529	1.0e-06	1.0e-06	99999	0	2322	4	93	1549	20	1	0.0743987	0.1	7872	2907
104	FIXED	27	266	0.402858	1.0e-06	1.0e-06	99999	0	13538	4	36	59	20	1	0.00170943	0.1	445	142
105	FIXED	49	492	0.25916	1.0e-06	1.0e-06	99999	0	54535	4	42	66	20	1	0.00308456	0.1	1502	633
106	FIXED	56	562	0.329768	1.0e-06	1.0e-06	99999	0	96333	4	59	581	20	1	0.0211612	0.1	5321	2290
107	FIXED	28	277	0.650316	1.0e-06	1.0e-06	99999	0	25976	2	39	121	20	1	0.00317401	0.1	1873	739
108	FIXED	78	783	0.123951	1.0e-06	1.0e-06	99999	0	42042	4	173	781	20	1	0.0503341	0.1	6231	1905
109	FIXED	65	645	0.336209	1.0e-06	1.0e-06	99999	0	49050	4	56	521	20	1	0.0241768	0.1	2854	623
110	FIXED	64	644	0.0280218	1.0e-06	1.0e-06	99999	0	7243	4	39	174	20	1	0.00816016	0.1	917	422
111	SEG	60	598	0.337347	1.0e-06	1.0e-06	99999	0	20540	4	NF	45	20	0.408333	0.00255492	0.1	332	148
112	FIXED	33	330	0.467033	1.0e-06	1.0e-06	99999	0	17888	4	67	396	20	1	0.0112494	0.1	2092	957
113	SEG	58	579	0.2958	1.0e-06	1.0e-06	99999	0	74308	4	NF	167	20	0.844828	0.00870991	0.1	2503	521
114	FIXED	20	199	0.838187	1.0e-06	1.0e-06	99999	0	10871	4	38	224	19	1	0.00479262	0.1	1982	495
