sim_id	outcome	NeA	NeB	s	r	mu	L	m	mut_pos	rise_gen	fix_gen	end_gen	samp	mut_freq	run_CPU_time(s)	chg_r	split_gen	chg_gen
100	NO_MUT	55	549	0.0502754	1.0e-06	1.0e-06	99999	0	-	4	-	946	20	-	0.0352128	0.1	4886	1931
101	NO_MUT	74	735	0.0531904	1.0e-06	1.0e-06	99999	0	-	4	-	683	20	-	0.0393227	0.1	6531	2857
102	NO_MUT	33	327	0.362597	1.0e-06	1.0e-06	99999	0	-	4	-	144	20	-	0.00403326	0.1	2027	764
103	NO_MUT	81	809	0.176529	1.0e-06	1.0e-06	99999	0	-	4	-	1549	20	-	0.090451	0.1	7872	2907
104	NO_MUT	27	266	0.402858	1.0e-06	1.0e-06	99999	0	-	4	-	59	20	-	0.00180232	0.1	445	142
105	NO_MUT	49	492	0.25916	1.0e-06	1.0e-06	99999	0	-	4	-	66	20	-	0.00287669	0.1	1502	633
106	NO_MUT	56	562	0.329768	1.0e-06	1.0e-06	99999	0	-	4	-	581	20	-	0.0228986	0.1	5321	2290
107	NO_MUT	28	277	0.650316	1.0e-06	1.0e-06	99999	0	-	2	-	121	20	-	0.00453986	0.1	1873	739
108	NO_MUT	78	783	0.123951	1.0e-06	1.0e-06	99999	0	-	4	-	781	20	-	0.0441099	0.1	6231	1905
109	NO_MUT	65	645	0.336209	1.0e-06	1.0e-06	99999	0	-	4	-	521	20	-	0.0220431	0.1	2854	623
110	NO_MUT	64	644	0.0280218	1.0e-06	1.0e-06	99999	0	-	4	-	174	20	-	0.00833124	0.1	917	422
111	NO_MUT	60	598	0.337347	1.0e-06	1.0e-06	99999	0	-	4	-	45	20	-	0.00273036	0.1	332	148
112	NO_MUT	33	330	0.467033	1.0e-06	1.0e-06	99999	0	-	4	-	396	20	-	0.00943052	0.1	2092	957
113	NO_MUT	58	579	0.2958	1.0e-06	1.0e-06	99999	0	-	4	-	167	20	-	0.00744043	0.1	2503	521
114	NO_MUT	20	199	0.838187	1.0e-06	1.0e-06	99999	0	-	4	-	224	19	-	0.00353383	0.1	1982	495
