id	NeMin	NeMax	r	mu	L	samp	chg_r
100	100	1000	1e-6	1e-6	100000	20	10
101	100	1000	1e-6	1e-6	100000	20	10
102	100	1000	1e-6	1e-6	100000	20	10
103	100	1000	1e-6	1e-6	100000	20	10
104	100	1000	1e-6	1e-6	100000	20	10
105	100	1000	1e-6	1e-6	100000	20	10
106	100	1000	1e-6	1e-6	100000	20	10
107	100	1000	1e-6	1e-6	100000	20	10
108	100	1000	1e-6	1e-6	100000	20	10
109	100	1000	1e-6	1e-6	100000	20	10
110	100	1000	1e-6	1e-6	100000	20	10
111	100	1000	1e-6	1e-6	100000	20	10
112	100	1000	1e-6	1e-6	100000	20	10
113	100	1000	1e-6	1e-6	100000	20	10
114	100	1000	1e-6	1e-6	100000	20	10
