sim_id	outcome	NeA	NeB	s	r	mu	L	m	mut_pos	rise_gen	fix_gen	end_gen	samp	mut_freq	run_CPU_time(s)	chg_r	split_gen	chg_gen
100	NO_MUT	8840	884	0.228422	1.0e-06	1.0e-06	99999	1.13122e-05	-	4	-	85	20	-	0.743777	10	4184	976
101	NO_MUT	2840	284	0.602458	1.0e-06	1.0e-06	99999	3.52113e-05	-	4	-	289	20	-	0.678853	10	2321	862
102	NO_MUT	4830	483	0.293353	1.0e-06	1.0e-06	99999	2.07039e-05	-	4	-	64	20	-	0.274294	10	2234	857
103	NO_MUT	7080	708	0.343446	1.0e-06	1.0e-06	99999	1.41243e-05	-	4	-	703	20	-	4.08058	10	6936	2503
104	NO_MUT	5320	532	0.343565	1.0e-06	1.0e-06	99999	1.8797e-05	-	4	-	745	20	-	3.08445	10	3798	1848
105	NO_MUT	2570	257	0.362174	1.0e-06	1.0e-06	99999	3.89105e-05	-	4	-	149	20	-	0.310148	10	1404	434
106	NO_MUT	2690	269	0.186034	1.0e-06	1.0e-06	99999	3.71747e-05	-	4	-	249	20	-	0.524064	10	2034	534
107	NO_MUT	9200	920	0.0134527	1.0e-06	1.0e-06	99999	1.08696e-05	-	4	-	949	20	-	7.68855	10	5654	1302
108	NO_MUT	6390	639	0.345613	1.0e-06	1.0e-06	99999	1.56495e-05	-	4	-	706	20	-	3.72732	10	5577	2397
109	NO_MUT	9080	908	0.192998	1.0e-06	1.0e-06	99999	1.10132e-05	-	4	-	1274	20	-	10.1736	10	8550	2650
110	NO_MUT	2750	275	0.591621	1.0e-06	1.0e-06	99999	3.63636e-05	-	4	-	291	20	-	0.600851	10	1585	488
111	NO_MUT	3650	365	0.196397	1.0e-06	1.0e-06	99999	2.73973e-05	-	4	-	190	20	-	0.504675	10	3401	1370
112	NO_MUT	3130	313	0.103144	1.0e-06	1.0e-06	99999	3.19489e-05	-	4	-	222	20	-	0.552479	10	2672	558
113	NO_MUT	9590	959	0.182769	1.0e-06	1.0e-06	99999	1.04275e-05	-	4	-	797	20	-	6.82122	10	8736	2130
114	NO_MUT	5760	576	0.360703	1.0e-06	1.0e-06	99999	1.73611e-05	-	4	-	558	20	-	2.5876	10	4148	1348
