sim_id	outcome	NeA	NeB	s	r	mu	L	m	mut_pos	rise_gen	fix_gen	end_gen	samp	mut_freq	run_CPU_time(s)	chg_r	split_gen	chg_gen
100	NO_MUT	97	974	0.0971207	1.0e-06	1.0e-06	99999	0.00103093	-	4	-	99	20	-	0.0841464	0.1	2111	985
101	NO_MUT	76	763	0.0183016	1.0e-06	1.0e-06	99999	0.00131579	-	4	-	55	20	-	0.0378562	0.1	6461	1793
102	NO_MUT	11	114	1.25844	1.0e-06	1.0e-06	99999	0.00909091	-	4	-	91	11	-	0.00858786	0.1	480	221
103	NO_MUT	53	526	0.193843	1.0e-06	1.0e-06	99999	0.00188679	-	4	-	382	20	-	0.150032	0.1	4443	1436
104	NO_MUT	52	524	0.38246	1.0e-06	1.0e-06	99999	0.00192308	-	4	-	113	20	-	0.0464542	0.1	1786	811
105	NO_MUT	97	965	0.171856	1.0e-06	1.0e-06	99999	0.00103093	-	4	-	359	20	-	0.262379	0.1	1881	664
106	NO_MUT	17	168	0.741351	1.0e-06	1.0e-06	99999	0.00588235	-	4	-	69	16	-	0.00932874	0.1	566	272
107	NO_MUT	71	710	0.318893	1.0e-06	1.0e-06	99999	0.00140845	-	4	-	720	20	-	0.326531	0.1	4491	1139
108	NO_MUT	72	717	0.304207	1.0e-06	1.0e-06	99999	0.00138889	-	4	-	426	20	-	0.200961	0.1	4398	2125
109	NO_MUT	27	268	0.430548	1.0e-06	1.0e-06	99999	0.0037037	-	4	-	220	20	-	0.0428217	0.1	2501	1059
110	NO_MUT	58	584	0.118525	1.0e-06	1.0e-06	99999	0.00172414	-	4	-	98	20	-	0.0472678	0.1	504	122
111	NO_MUT	13	133	1.60411	1.0e-06	1.0e-06	99999	0.00769231	-	4	-	61	13	-	0.00700733	0.1	574	282
112	NO_MUT	97	965	0.127042	1.0e-06	1.0e-06	99999	0.00103093	-	4	-	12	20	-	0.0129901	0.1	256	100
113	NO_MUT	93	925	0.156086	1.0e-06	1.0e-06	99999	0.00107527	-	4	-	596	20	-	0.372727	0.1	3953	1047
114	NO_MUT	97	965	0.0895331	1.0e-06	1.0e-06	99999	0.00103093	-	4	-	1103	20	-	0.688424	0.1	5970	1304
