sim_id	outcome	NeA	NeB	s	r	mu	L	m	mut_pos	rise_gen	fix_gen	end_gen	samp	mut_freq	run_CPU_time(s)	chg_r	split_gen	chg_gen
100	NO_MUT	173	173	0.583365	1.0e-06	1.0e-06	99999	0.000578035	-	4	-	38	20	-	0.0110074	1	459	179
101	NO_MUT	799	799	0.230509	1.0e-06	1.0e-06	99999	0.000125156	-	4	-	289	20	-	0.294299	1	3335	1010
102	NO_MUT	141	141	0.914415	1.0e-06	1.0e-06	99999	0.00070922	-	4	-	59	20	-	0.0130196	1	818	187
103	NO_MUT	142	142	0.420428	1.0e-06	1.0e-06	99999	0.000704225	-	4	-	53	20	-	0.0119982	1	957	269
104	NO_MUT	355	355	0.582278	1.0e-06	1.0e-06	99999	0.00028169	-	4	-	387	20	-	0.171334	1	2281	776
105	NO_MUT	926	926	0.250892	1.0e-06	1.0e-06	99999	0.000107991	-	4	-	379	20	-	0.460134	1	6689	1881
106	NO_MUT	461	461	0.39264	1.0e-06	1.0e-06	99999	0.00021692	-	4	-	82	20	-	0.0576561	1	576	180
107	NO_MUT	440	440	0.231677	1.0e-06	1.0e-06	99999	0.000227273	-	4	-	94	20	-	0.0603702	1	1298	292
108	NO_MUT	535	535	0.322796	1.0e-06	1.0e-06	99999	0.000186916	-	4	-	736	20	-	0.499676	1	4273	1450
109	NO_MUT	280	280	0.414642	1.0e-06	1.0e-06	99999	0.000357143	-	4	-	50	20	-	0.0226128	1	566	249
110	NO_MUT	120	120	0.367298	1.0e-06	1.0e-06	99999	0.000833333	-	4	-	125	20	-	0.0211709	1	832	173
111	NO_MUT	445	445	0.419271	1.0e-06	1.0e-06	99999	0.000224719	-	4	-	239	20	-	0.135629	1	2267	972
112	NO_MUT	839	839	0.171323	1.0e-06	1.0e-06	99999	0.00011919	-	4	-	510	20	-	0.551506	1	4820	1775
113	NO_MUT	797	797	0.198857	1.0e-06	1.0e-06	99999	0.000125471	-	4	-	110	20	-	0.11951	1	2858	1192
114	NO_MUT	826	826	0.119428	1.0e-06	1.0e-06	99999	0.000121065	-	4	-	389	20	-	0.433624	1	6060	1925
