sim_id	outcome	NeA	NeB	s	r	mu	L	m	mut_pos	rise_gen	fix_gen	end_gen	samp	mut_freq	run_CPU_time(s)	chg_r	split_gen	chg_gen
100	NO_MUT	2310	231	0.936886	1.0e-06	1.0e-06	99999	4.329e-05	-	4	-	140	20	-	0.290274	10	736	170
101	NO_MUT	1390	139	1.46463	1.0e-06	1.0e-06	99999	7.19424e-05	-	4	-	81	20	-	0.0979958	10	444	160
102	NO_MUT	1280	128	0.371047	1.0e-06	1.0e-06	99999	7.8125e-05	-	4	-	170	20	-	0.167823	10	881	217
103	NO_MUT	9800	980	0.151023	1.0e-06	1.0e-06	99999	1.02041e-05	-	4	-	1307	20	-	12.9538	10	8121	1871
104	NO_MUT	8910	891	0.0232264	1.0e-06	1.0e-06	99999	1.12233e-05	-	4	-	643	20	-	5.75779	10	7067	2015
105	NO_MUT	3820	382	0.524617	1.0e-06	1.0e-06	99999	2.6178e-05	-	4	-	381	20	-	1.34586	10	2852	600
106	NO_MUT	5700	570	0.132385	1.0e-06	1.0e-06	99999	1.75439e-05	-	4	-	143	20	-	0.801938	10	2402	588
107	NO_MUT	2700	270	0.270892	1.0e-06	1.0e-06	99999	3.7037e-05	-	4	-	240	20	-	0.596404	10	1420	493
108	NO_MUT	4110	411	0.198226	1.0e-06	1.0e-06	99999	2.43309e-05	-	4	-	506	20	-	1.6599	10	3969	1391
109	NO_MUT	7510	751	0.324557	1.0e-06	1.0e-06	99999	1.33156e-05	-	4	-	537	20	-	3.80955	10	3611	1023
110	NO_MUT	6850	685	0.143663	1.0e-06	1.0e-06	99999	1.45985e-05	-	4	-	519	20	-	3.3486	10	3844	933
111	NO_MUT	3860	386	0.635827	1.0e-06	1.0e-06	99999	2.59067e-05	-	4	-	76	20	-	0.279356	10	1293	493
112	NO_MUT	6640	664	0.301711	1.0e-06	1.0e-06	99999	1.50602e-05	-	4	-	75	20	-	0.500351	10	2686	1271
113	NO_MUT	4670	467	0.273139	1.0e-06	1.0e-06	99999	2.14133e-05	-	4	-	86	20	-	0.355356	10	1559	329
114	NO_MUT	2080	208	0.553104	1.0e-06	1.0e-06	99999	4.80769e-05	-	4	-	202	20	-	0.392717	10	1528	582
