sim_id	outcome	NeA	NeB	s	r	mu	L	m	mut_pos	rise_gen	fix_gen	end_gen	samp	mut_freq	run_CPU_time(s)	chg_r	split_gen	chg_gen
100	NO_MUT	314	314	0.688859	1.0e-06	1.0e-06	99999	0.000318471	-	4	-	203	20	-	0.101093	1	1781	417
101	NO_MUT	670	670	0.129345	1.0e-06	1.0e-06	99999	0.000149254	-	4	-	120	20	-	0.125922	1	2378	799
102	NO_MUT	368	368	0.509547	1.0e-06	1.0e-06	99999	0.000271739	-	4	-	560	20	-	0.281691	1	3064	741
103	NO_MUT	347	347	0.295352	1.0e-06	1.0e-06	99999	0.000288184	-	4	-	71	20	-	0.0386749	1	1547	764
104	NO_MUT	212	212	0.967576	1.0e-06	1.0e-06	99999	0.000471698	-	4	-	104	20	-	0.0699586	1	1226	315
105	NO_MUT	880	880	0.119995	1.0e-06	1.0e-06	99999	0.000113636	-	4	-	311	20	-	0.400064	1	6107	2301
106	NO_MUT	683	683	0.172112	1.0e-06	1.0e-06	99999	0.000146413	-	4	-	130	20	-	0.122044	1	2489	680
107	NO_MUT	397	397	0.16118	1.0e-06	1.0e-06	99999	0.000251889	-	4	-	51	20	-	0.0307626	1	1887	832
108	NO_MUT	830	830	0.0841269	1.0e-06	1.0e-06	99999	0.000120482	-	4	-	102	20	-	0.118605	1	715	348
109	NO_MUT	701	701	0.1301	1.0e-06	1.0e-06	99999	0.000142653	-	4	-	553	20	-	0.540421	1	3636	1356
110	NO_MUT	667	667	0.246241	1.0e-06	1.0e-06	99999	0.000149925	-	4	-	504	20	-	0.510619	1	5195	1418
111	NO_MUT	676	676	0.0432646	1.0e-06	1.0e-06	99999	0.000147929	-	4	-	337	20	-	0.370334	1	4230	1734
112	NO_MUT	961	961	0.220793	1.0e-06	1.0e-06	99999	0.000104058	-	4	-	1828	20	-	2.40161	1	9462	4666
113	NO_MUT	235	235	0.123271	1.0e-06	1.0e-06	99999	0.000425532	-	4	-	72	20	-	0.0274061	1	519	173
114	NO_MUT	676	676	0.332749	1.0e-06	1.0e-06	99999	0.000147929	-	4	-	1009	20	-	0.855767	1	5651	1851
