id	NeMin	NeMax	r	mu	L	samp	chg_r
100	100	1000	1e-6	1e-6	100000	20	0.1
101	100	1000	1e-6	1e-6	100000	20	0.1
102	100	1000	1e-6	1e-6	100000	20	0.1
103	100	1000	1e-6	1e-6	100000	20	0.1
104	100	1000	1e-6	1e-6	100000	20	0.1
105	100	1000	1e-6	1e-6	100000	20	0.1
106	100	1000	1e-6	1e-6	100000	20	0.1
107	100	1000	1e-6	1e-6	100000	20	0.1
108	100	1000	1e-6	1e-6	100000	20	0.1
109	100	1000	1e-6	1e-6	100000	20	0.1
110	100	1000	1e-6	1e-6	100000	20	0.1
111	100	1000	1e-6	1e-6	100000	20	0.1
112	100	1000	1e-6	1e-6	100000	20	0.1
113	100	1000	1e-6	1e-6	100000	20	0.1
114	100	1000	1e-6	1e-6	100000	20	0.1
