sim_id	outcome	NeA	NeB	s	r	mu	L	m	mut_pos	rise_gen	fix_gen	end_gen	samp	mut_freq	run_CPU_time(s)	chg_r	split_gen	chg_gen
100	NO_MUT	10	101	2.35574	1.0e-06	1.0e-06	99999	0.01	-	4	-	34	10	-	0.00358925	0.1	236	56
101	NO_MUT	96	962	0.055467	1.0e-06	1.0e-06	99999	0.00104167	-	4	-	313	20	-	0.23527	0.1	3710	833
102	NO_MUT	49	486	0.183345	1.0e-06	1.0e-06	99999	0.00204082	-	4	-	557	20	-	0.188091	0.1	3784	1034
103	NO_MUT	79	785	0.314148	1.0e-06	1.0e-06	99999	0.00126582	-	4	-	80	20	-	0.0527371	0.1	940	333
104	NO_MUT	57	569	0.239004	1.0e-06	1.0e-06	99999	0.00175439	-	4	-	886	20	-	0.391426	0.1	4613	936
105	NO_MUT	36	360	0.295284	1.0e-06	1.0e-06	99999	0.00277778	-	4	-	242	20	-	0.0676695	0.1	3130	1199
106	NO_MUT	54	540	0.359016	1.0e-06	1.0e-06	99999	0.00185185	-	4	-	677	20	-	0.2363	0.1	5130	1158
107	NO_MUT	61	614	0.365137	1.0e-06	1.0e-06	99999	0.00163934	-	4	-	1044	20	-	0.443135	0.1	5637	2503
108	NO_MUT	54	535	0.4433	1.0e-06	1.0e-06	99999	0.00185185	-	4	-	309	20	-	0.113025	0.1	1571	661
109	NO_MUT	13	133	1.11815	1.0e-06	1.0e-06	99999	0.00769231	-	4	-	16	13	-	0.00249188	0.1	83	17
110	NO_MUT	36	356	0.299677	1.0e-06	1.0e-06	99999	0.00277778	-	4	-	111	20	-	0.0323417	0.1	863	375
111	NO_MUT	58	583	0.377328	1.0e-06	1.0e-06	99999	0.00172414	-	4	-	393	20	-	0.155517	0.1	4176	897
112	NO_MUT	18	180	0.477696	1.0e-06	1.0e-06	99999	0.00555556	-	4	-	7	18	-	0.00218977	0.1	36	10
113	NO_MUT	71	710	0.346817	1.0e-06	1.0e-06	99999	0.00140845	-	4	-	190	20	-	0.103419	0.1	1624	740
114	NO_MUT	82	820	0.134988	1.0e-06	1.0e-06	99999	0.00121951	-	4	-	339	20	-	0.206404	0.1	6302	2601
